priority_rank,content_id,client_id,rf_score,impressions_90d,days_since_last_update,avg_position,reason_code,recommended_action
158,content_4521b26bd5ff,client_7f2253d7e2,0.7541477240469666,29125,20,19.6,striking_distance_ctr_gap,title_meta_ctr_rewrite
159,content_59ee92135b5c,client_7f2253d7e2,0.7540163525081378,24978,20,13.9,low_volume_deep_serp,monitor_or_prune
160,content_82ea9307e1ab,client_7f2253d7e2,0.7538280757657368,21697,20,25.6,low_volume_deep_serp,monitor_or_prune
161,content_67095eb7f5de,client_f369cb89fc,0.75378217085024,4782,8,0.6,low_volume_deep_serp,monitor_or_prune
162,content_ba60decb51d4,client_3fdba35f04,0.7537514548274719,252,104,6.1,striking_distance_ctr_gap,title_meta_ctr_rewrite
163,content_4e75c45a9d83,client_3fdba35f04,0.7537481759688264,599,104,28.3,low_volume_deep_serp,monitor_or_prune
164,content_388572a79e64,client_3fdba35f04,0.7536144579559216,235,41,19.2,striking_distance_ctr_gap,title_meta_ctr_rewrite
165,content_f8f53b831229,client_3fdba35f04,0.7536144579559216,480,41,18.2,striking_distance_ctr_gap,title_meta_ctr_rewrite
166,content_38f83eafa240,client_3fdba35f04,0.7535577954702505,2027,20,25.6,low_volume_deep_serp,monitor_or_prune
167,content_1d58cdcf8bca,client_7f2253d7e2,0.7535154462740407,48471,20,37.6,low_volume_deep_serp,monitor_or_prune
168,content_f5d5b7516980,client_3fdba35f04,0.7533739074464524,884,104,24.9,low_volume_deep_serp,monitor_or_prune
169,content_69fbbca765cf,client_3fdba35f04,0.7533709351790318,503,104,19.6,striking_distance_ctr_gap,title_meta_ctr_rewrite
170,content_45c46ffdfc85,client_3fdba35f04,0.7533676607365295,728,104,17.1,striking_distance_ctr_gap,title_meta_ctr_rewrite
171,content_7667d13ba73d,client_3fdba35f04,0.7533676607365295,699,104,22.5,low_volume_deep_serp,monitor_or_prune
172,content_8bac7e68dc86,client_3fdba35f04,0.7533676607365295,739,104,21.5,low_volume_deep_serp,monitor_or_prune
173,content_b85fcb896a50,client_3fdba35f04,0.7533676607365295,963,104,21.1,low_volume_deep_serp,monitor_or_prune
174,content_0b47dae0c7f9,client_8527a891e2,0.7533676607365295,1191,103,23.1,low_volume_deep_serp,monitor_or_prune
175,content_07d5ab4b7da9,client_3fdba35f04,0.7533676607365295,608,104,17.4,striking_distance_ctr_gap,title_meta_ctr_rewrite
176,content_764c04089358,client_3fdba35f04,0.7533676607365295,890,104,19.8,striking_distance_ctr_gap,title_meta_ctr_rewrite
177,content_46e394e518c1,client_3fdba35f04,0.7530061065681197,1413,104,37.8,low_volume_deep_serp,monitor_or_prune
178,content_dd236a70cd61,client_7f2253d7e2,0.7529468044015494,19562,20,13.6,striking_distance_ctr_gap,title_meta_ctr_rewrite
179,content_f15f55bda4af,client_3fdba35f04,0.7529135917070178,917,104,6.7,striking_distance_ctr_gap,title_meta_ctr_rewrite
180,content_b012f02fa8f1,client_b4944c6ff0,0.7528839422553643,1712,20,0.9,low_volume_deep_serp,monitor_or_prune
181,content_88a2e9238054,client_b4944c6ff0,0.7528839422553643,1564,20,1.0,striking_distance_ctr_gap,title_meta_ctr_rewrite
182,content_6cb1ccf2085a,client_3fdba35f04,0.7528761283628121,417,104,15.8,striking_distance_ctr_gap,title_meta_ctr_rewrite
183,content_74d93e56c80d,client_3fdba35f04,0.7527988902614622,2924,104,38.1,low_volume_deep_serp,monitor_or_prune
184,content_a027a8c7ff1f,client_7f2253d7e2,0.7526418411898311,43273,20,24.2,low_volume_deep_serp,monitor_or_prune
185,content_1bfaa38ff26c,client_7f2253d7e2,0.7525736767783076,25715,194,22.2,stale_high_traffic_decay,full_content_refresh
186,content_25a763874cf0,client_3fdba35f04,0.7525662029275282,908,104,27.4,low_volume_deep_serp,monitor_or_prune
187,content_5e3007609e04,client_3fdba35f04,0.7525463710537261,1613,104,15.2,striking_distance_ctr_gap,title_meta_ctr_rewrite
188,content_0b31960599ed,client_7f2253d7e2,0.7525363249585153,22724,20,24.6,low_volume_deep_serp,monitor_or_prune
189,content_aa8c0ad3a60b,client_3fdba35f04,0.7525213406715026,187,104,4.3,striking_distance_ctr_gap,title_meta_ctr_rewrite
190,content_1db050f8d397,client_3fdba35f04,0.7524863920474629,1168,20,21.9,low_volume_deep_serp,monitor_or_prune
191,content_daa2dc5a0441,client_3fdba35f04,0.7524863920474629,597,20,25.3,low_volume_deep_serp,monitor_or_prune
192,content_e546744ec1ec,client_3fdba35f04,0.7524863920474629,745,20,24.2,low_volume_deep_serp,monitor_or_prune
193,content_a0404909ecca,client_3fdba35f04,0.7524760014890074,1115,104,14.1,striking_distance_ctr_gap,title_meta_ctr_rewrite
194,content_9b6df29f7889,client_3fdba35f04,0.7524666514540982,1622,104,3.1,striking_distance_ctr_gap,title_meta_ctr_rewrite
195,content_72a217799ba0,client_3fdba35f04,0.7524526083899247,1027,104,20.2,low_volume_deep_serp,monitor_or_prune
196,content_e988c1699454,client_8527a891e2,0.7524161535434907,2197,104,21.5,low_volume_deep_serp,monitor_or_prune
197,content_4463f504fbd5,client_3fdba35f04,0.752322515540888,121,104,13.9,striking_distance_ctr_gap,title_meta_ctr_rewrite
198,content_69cff37b8e8c,client_3fdba35f04,0.7522101124292767,1277,41,16.2,striking_distance_ctr_gap,title_meta_ctr_rewrite
199,content_60d483a7cd69,client_7f2253d7e2,0.7520400520909789,22198,20,9.7,low_volume_deep_serp,monitor_or_prune
200,content_558fd4b27659,client_3fdba35f04,0.7520219077853233,2559,104,20.2,low_volume_deep_serp,monitor_or_prune
201,content_46fbbacc0596,client_3fdba35f04,0.7519490311987035,588,104,27.7,low_volume_deep_serp,monitor_or_prune
202,content_bb83bda7fd39,client_3fdba35f04,0.7519081801454329,216,104,27.0,low_volume_deep_serp,monitor_or_prune
203,content_35f55b5a24e7,client_3fdba35f04,0.7519081801454329,507,104,26.2,low_volume_deep_serp,monitor_or_prune
204,content_b88b3946f2d6,client_3fdba35f04,0.7519081801454329,499,104,23.6,low_volume_deep_serp,monitor_or_prune
205,content_839755102d3f,client_3fdba35f04,0.7519081801454329,161,104,26.3,low_volume_deep_serp,monitor_or_prune
206,content_1c3154cc7576,client_3fdba35f04,0.7519081801454329,306,104,25.3,low_volume_deep_serp,monitor_or_prune
207,content_212e86a9fe84,client_3fdba35f04,0.7519081801454329,365,104,20.9,low_volume_deep_serp,monitor_or_prune
208,content_ef6e7d7cfe15,client_8527a891e2,0.7519081801454329,264,104,22.2,low_volume_deep_serp,monitor_or_prune
209,content_a10924bced3d,client_3fdba35f04,0.7517363995371169,165,104,4.1,striking_distance_ctr_gap,title_meta_ctr_rewrite
210,content_c6da1bbdc259,client_3fdba35f04,0.7517002503954475,860,104,11.9,striking_distance_ctr_gap,title_meta_ctr_rewrite
211,content_f5973cb1313b,client_3fdba35f04,0.7516370165357013,916,20,22.9,low_volume_deep_serp,monitor_or_prune
