rank,content_id,client_id,impressions_90d,days_since_last_update,avg_position,ctr,baseline_score,reason_code,action_label,is_declining_label
6737,content_3d062d6afaf4,client_4ec9599fc2,79,20,5.0,0.0,0.0,general_monitoring,title_meta_rewrite,1
6738,content_eecb0c9bd176,client_19581e27de,745,104,31.1,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,0
6739,content_4c98c5a9a1e3,client_25fc0e7096,3,8,0.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
6740,content_0228bb776000,client_19581e27de,3935,104,3.5,0.25,0.0,page_one_decay_risk,title_meta_rewrite,1
6741,content_786aacb2f787,client_b4944c6ff0,1007,20,8.8,0.5,0.0,general_monitoring,monitor_performance,1
6742,content_2cc84a412bda,client_d029fa3a95,64,20,12.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
6743,content_5c70e097f613,client_4e07408562,6400,104,5.4,0.08,0.0,page_one_decay_risk,title_meta_rewrite,1
6744,content_17da2c85e1ee,client_19581e27de,8535,104,5.0,0.13,0.0,page_one_decay_risk,title_meta_rewrite,0
6745,content_f45787e64ac2,client_4e07408562,291,104,5.2,0.34,0.0,page_one_decay_risk,title_meta_rewrite,0
6746,content_3b36899453fe,client_4e07408562,16630,25,20.4,0.37,0.0,low_ctr_visible_page,title_meta_rewrite,0
6747,content_83a21bfa1807,client_bdd2d3af3a,35,8,7.0,2.86,0.0,general_monitoring,monitor_performance,1
6748,content_360f4f18e091,client_8722616204,24,20,14.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
6749,content_cc8057ea181e,client_6208ef0f77,1755,104,31.3,0.06,0.0,low_ctr_visible_page,title_meta_rewrite,1
6750,content_3bceba725206,client_f369cb89fc,143,8,5.3,1.4,0.0,general_monitoring,monitor_performance,0
6751,content_1e5291a4ab45,client_6208ef0f77,3868,104,21.1,0.62,0.0,general_monitoring,monitor_performance,0
6752,content_cc070872915f,client_d4735e3a26,6,20,2.7,0.0,0.0,general_monitoring,title_meta_rewrite,1
6753,content_e4819c5162b9,client_19581e27de,5208,22,6.6,0.06,0.0,low_ctr_visible_page,title_meta_rewrite,1
6754,content_a1e9095da416,client_6208ef0f77,79145,104,21.9,0.38,0.0,low_ctr_visible_page,title_meta_rewrite,0
6755,content_555b8d026295,client_4e07408562,7384,14,6.4,0.38,0.0,low_ctr_visible_page,title_meta_rewrite,1
6756,content_e77324ced807,client_6208ef0f77,4507,104,21.2,0.51,0.0,general_monitoring,monitor_performance,0
6757,content_cd179d81af92,client_7f2253d7e2,5463,20,11.8,1.83,0.0,general_monitoring,monitor_performance,1
6758,content_7e15c7080f38,client_19581e27de,6207,20,8.9,0.26,0.0,low_ctr_visible_page,title_meta_rewrite,1
6759,content_717779bcf77b,client_7f2253d7e2,1601,20,23.1,0.12,0.0,low_ctr_visible_page,title_meta_rewrite,1
6760,content_d1e02df17941,client_19581e27de,30521,104,4.1,0.37,0.0,page_one_decay_risk,title_meta_rewrite,1
6761,content_8465813d8915,client_bbb965ab0c,374,20,10.8,0.0,0.0,general_monitoring,title_meta_rewrite,1
6762,content_b208ad595375,client_bbb965ab0c,2905,15,11.5,0.55,0.0,general_monitoring,monitor_performance,1
6763,content_d041ef6f65ca,client_19581e27de,78950,104,6.2,0.11,0.0,page_one_decay_risk,title_meta_rewrite,0
6764,content_226a0dd99858,client_3fdba35f04,5140,104,40.8,0.04,0.0,low_ctr_visible_page,title_meta_rewrite,1
6765,content_ce17628491d0,client_9f14025af0,13,20,6.0,7.69,0.0,general_monitoring,monitor_performance,0
6766,content_d423fedf21f0,client_4e07408562,2221,13,11.6,0.09,0.0,low_ctr_visible_page,title_meta_rewrite,1
6767,content_22b5f5631fb8,client_3fdba35f04,3125,14,9.2,0.22,0.0,low_ctr_visible_page,title_meta_rewrite,1
6768,content_3c1d87ccf4e8,client_6208ef0f77,484,104,39.7,0.21,0.0,general_monitoring,title_meta_rewrite,1
6769,content_6e6958b0a756,client_6208ef0f77,12803,104,25.2,0.05,0.0,low_ctr_visible_page,title_meta_rewrite,1
6770,content_aa522a6beecb,client_4e07408562,13790,25,11.3,0.37,0.0,low_ctr_visible_page,title_meta_rewrite,1
6771,content_51bbaf502f53,client_a88a7902cb,13,28,78.8,0.0,0.0,general_monitoring,title_meta_rewrite,1
6772,content_37f29d7160dd,client_a88a7902cb,71,8,5.6,0.0,0.0,general_monitoring,title_meta_rewrite,1
6773,content_fb7bee100eb1,client_19581e27de,112,104,30.2,0.0,0.0,general_monitoring,title_meta_rewrite,1
6774,content_3e8b99272731,client_4e07408562,504,104,42.3,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,0
6775,content_d4450356763b,client_25fc0e7096,3,6,0.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
6776,content_1fd60831ce3e,client_4e07408562,10818,20,34.6,0.07,0.0,low_ctr_visible_page,title_meta_rewrite,1
6777,content_b03686077f5a,client_f369cb89fc,5,20,6.6,0.0,0.0,general_monitoring,title_meta_rewrite,0
6778,content_26e847e05947,client_d029fa3a95,223,8,44.3,0.0,0.0,general_monitoring,title_meta_rewrite,0
6779,content_c16ed807a773,client_19581e27de,16565,20,4.5,0.56,0.0,general_monitoring,monitor_performance,1
6780,content_7a21f1aac586,client_7f2253d7e2,13636,20,19.4,0.07,0.0,low_ctr_visible_page,title_meta_rewrite,1
6781,content_12772dadb083,client_e629fa6598,847,20,21.2,0.35,0.0,low_ctr_visible_page,title_meta_rewrite,1
6782,content_811829ad0de3,client_8527a891e2,5,20,14.8,0.0,0.0,general_monitoring,title_meta_rewrite,1
6783,content_6e58dbfd9e9c,client_a88a7902cb,23,28,40.3,0.0,0.0,general_monitoring,title_meta_rewrite,1
6784,content_1f3d1ecadee1,client_f74efabef1,599,20,25.8,0.33,0.0,low_ctr_visible_page,title_meta_rewrite,0
6785,content_31e982815b32,client_624b60c58c,32,8,6.8,0.0,0.0,general_monitoring,title_meta_rewrite,1
6786,content_e80e4dd74da2,client_4ec9599fc2,1,20,1.0,0.0,0.0,general_monitoring,title_meta_rewrite,1
6787,content_ac2e8ed0c8de,client_d029fa3a95,1,8,0.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
6788,content_ededda6ae161,client_f74efabef1,3770,20,3.3,0.13,0.0,low_ctr_visible_page,title_meta_rewrite,1
6789,content_cada5b5879a5,client_e29c9c180c,1,20,0.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
6790,content_e4d0022927a1,client_d4735e3a26,1,20,0.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
6791,content_2b33935d8a00,client_6208ef0f77,6306,20,5.8,0.24,0.0,low_ctr_visible_page,title_meta_rewrite,0
6792,content_92927ac474ba,client_6208ef0f77,961,104,27.1,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,1
6793,content_2975c9a2fabe,client_19581e27de,21177,22,6.3,0.1,0.0,low_ctr_visible_page,title_meta_rewrite,0
6794,content_d747e23f1430,client_bbb965ab0c,989,15,19.8,0.1,0.0,low_ctr_visible_page,title_meta_rewrite,1
6795,content_bcc0598ae87a,client_0b918943df,45,8,6.7,0.0,0.0,general_monitoring,title_meta_rewrite,0
6796,content_fed9e6b55be5,client_6208ef0f77,528,104,28.7,0.19,0.0,low_ctr_visible_page,title_meta_rewrite,1
6797,content_992ca218b32c,client_d4735e3a26,1,20,0.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
6798,content_0821ff587913,client_f74efabef1,574,20,19.9,0.35,0.0,low_ctr_visible_page,title_meta_rewrite,1
6799,content_f601e3a69412,client_4e07408562,6368,104,4.7,0.96,0.0,page_one_decay_risk,monitor_performance,0
6800,content_087cb2e219f2,client_6208ef0f77,1145,104,23.6,0.26,0.0,low_ctr_visible_page,title_meta_rewrite,1
6801,content_23b8b833c79e,client_7f2253d7e2,1343,20,16.6,0.07,0.0,low_ctr_visible_page,title_meta_rewrite,1
6802,content_12855ce06160,client_d4735e3a26,13,20,5.5,15.38,0.0,general_monitoring,monitor_performance,0
6803,content_1e57b71527e4,client_3fdba35f04,1213,19,1.2,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,1
6804,content_7b339d6d0a03,client_19581e27de,83,104,53.5,0.0,0.0,general_monitoring,title_meta_rewrite,0
6805,content_de147de3f5fe,client_624b60c58c,1747,8,11.5,0.06,0.0,low_ctr_visible_page,title_meta_rewrite,0
6806,content_f14c5bb83d35,client_2c624232cd,66,22,39.5,0.0,0.0,general_monitoring,title_meta_rewrite,0
6807,content_6f057a523b5d,client_6208ef0f77,19074,104,32.1,0.04,0.0,low_ctr_visible_page,title_meta_rewrite,1
6808,content_e25a5ef7ae33,client_4e07408562,4610,25,15.7,0.15,0.0,low_ctr_visible_page,title_meta_rewrite,0
6809,content_87a2aecb693d,client_f74efabef1,398,8,17.5,0.5,0.0,general_monitoring,monitor_performance,1
6810,content_50d44d74355b,client_19581e27de,2348,22,7.7,0.47,0.0,low_ctr_visible_page,title_meta_rewrite,0
6811,content_5ee2f6b89ee4,client_19581e27de,875,104,14.6,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,1
